2022-03-03 15:12:11,096 - movie_logger - INFO - 가상브라우저 실행...
2022-03-03 15:12:11,432 - movie_logger - INFO - 네이버 영화 랭킹 1페이지이동...
2022-03-03 15:12:11,451 - movie_logger - INFO - 1. 클라우스영화 제목 클릭...
2022-03-03 15:12:12,277 - movie_logger - INFO - 영화 평점 클릭...
2022-03-03 15:12:12,295 - movie_logger - INFO - 영화 제목 수집 : 클라우스
2022-03-03 15:12:12,318 - movie_logger - INFO - iframe으로 전환
2022-03-03 15:12:15,950 - movie_logger - INFO - 80,클라우스
2022-03-03 15:12:16,085 - movie_logger - INFO - 다음페이지 클릭
2022-03-03 15:12:16,125 - movie_logger - INFO - 81,클라우스
2022-03-03 15:12:16,155 - movie_logger - INFO - 82,클라우스
2022-03-03 15:12:16,186 - movie_logger - INFO - 83,클라우스
2022-03-03 15:12:16,216 - movie_logger - INFO - 84,클라우스
2022-03-03 15:12:16,246 - movie_logger - INFO - 85,클라우스
2022-03-03 15:12:16,276 - movie_logger - INFO - 86,클라우스
2022-03-03 15:12:16,306 - movie_logger - INFO - 87,클라우스
2022-03-03 15:12:16,336 - movie_logger - INFO - 88,클라우스
2022-03-03 15:12:16,366 - movie_logger - INFO - 89,클라우스
2022-03-03 15:12:16,396 - movie_logger - INFO - 90,클라우스
2022-03-03 15:12:16,536 - movie_logger - INFO - 다음페이지 클릭
2022-03-03 15:12:16,577 - movie_logger - INFO - 91,클라우스
2022-03-03 15:12:16,610 - movie_logger - INFO - 92,클라우스
2022-03-03 15:12:16,640 - movie_logger - INFO - 93,클라우스
2022-03-03 15:12:16,671 - movie_logger - INFO - 94,클라우스
2022-03-03 15:12:16,700 - movie_logger - INFO - 95,클라우스
2022-03-03 15:12:16,729 - movie_logger - INFO - 96,클라우스
2022-03-03 15:12:16,759 - movie_logger - INFO - 97,클라우스
2022-03-03 15:12:16,791 - movie_logger - INFO - 98,클라우스
2022-03-03 15:12:16,822 - movie_logger - INFO - 99,클라우스
2022-03-03 15:12:16,852 - movie_logger - INFO - 100,클라우스
2022-03-03 15:12:16,999 - movie_logger - INFO - 다음페이지 클릭
2022-03-03 15:12:17,040 - movie_logger - INFO - 101,클라우스
2022-03-03 15:12:17,070 - movie_logger - INFO - 102,클라우스
2022-03-03 15:12:17,099 - movie_logger - INFO - 103,클라우스
2022-03-03 15:12:17,129 - movie_logger - INFO - 104,클라우스
2022-03-03 15:12:17,160 - movie_logger - INFO - 105,클라우스
2022-03-03 15:12:17,191 - movie_logger - INFO - 106,클라우스
2022-03-03 15:12:17,223 - movie_logger - INFO - 107,클라우스
2022-03-03 15:12:17,252 - movie_logger - INFO - 108,클라우스
2022-03-03 15:12:17,283 - movie_logger - INFO - 109,클라우스
2022-03-03 15:12:17,313 - movie_logger - INFO - 110,클라우스
2022-03-03 15:12:17,455 - movie_logger - INFO - 다음페이지 클릭
2022-03-03 15:12:17,511 - movie_logger - INFO - 111,클라우스
2022-03-03 15:12:17,543 - movie_logger - INFO - 112,클라우스
2022-03-03 15:12:17,575 - movie_logger - INFO - 113,클라우스
2022-03-03 15:12:17,604 - movie_logger - INFO - 114,클라우스
2022-03-03 15:12:17,634 - movie_logger - INFO - 115,클라우스
2022-03-03 15:12:17,664 - movie_logger - INFO - 116,클라우스
2022-03-03 15:12:17,694 - movie_logger - INFO - 117,클라우스
2022-03-03 15:12:17,723 - movie_logger - INFO - 118,클라우스
2022-03-03 15:12:17,755 - movie_logger - INFO - 119,클라우스
2022-03-03 15:12:17,786 - movie_logger - INFO - 120,클라우스
2022-03-03 15:12:17,923 - movie_logger - INFO - 다음페이지 클릭
2022-03-03 15:12:17,973 - movie_logger - INFO - 121,클라우스
2022-03-03 15:12:18,002 - movie_logger - INFO - 122,클라우스
2022-03-03 15:12:18,032 - movie_logger - INFO - 123,클라우스
2022-03-03 15:12:18,063 - movie_logger - INFO - 124,클라우스
2022-03-03 15:12:18,093 - movie_logger - INFO - 125,클라우스
2022-03-03 15:12:18,124 - movie_logger - INFO - 126,클라우스
2022-03-03 15:12:18,155 - movie_logger - INFO - 127,클라우스
2022-03-03 15:12:18,186 - movie_logger - INFO - 128,클라우스
2022-03-03 15:12:18,217 - movie_logger - INFO - 129,클라우스
2022-03-03 15:12:18,247 - movie_logger - INFO - 130,클라우스
2022-03-03 15:12:18,391 - movie_logger - INFO - 다음페이지 클릭
2022-03-03 15:12:18,434 - movie_logger - INFO - 131,클라우스
2022-03-03 15:12:18,466 - movie_logger - INFO - 132,클라우스
2022-03-03 15:12:18,497 - movie_logger - INFO - 133,클라우스
2022-03-03 15:12:18,527 - movie_logger - INFO - 134,클라우스
2022-03-03 15:12:18,557 - movie_logger - INFO - 135,클라우스
2022-03-03 15:12:18,586 - movie_logger - INFO - 136,클라우스
2022-03-03 15:12:18,617 - movie_logger - INFO - 137,클라우스
2022-03-03 15:12:18,646 - movie_logger - INFO - 138,클라우스
2022-03-03 15:12:18,678 - movie_logger - INFO - 139,클라우스
2022-03-03 15:12:18,710 - movie_logger - INFO - 140,클라우스
2022-03-03 15:12:18,854 - movie_logger - INFO - 다음페이지 클릭
2022-03-03 15:12:18,899 - movie_logger - INFO - 141,클라우스
2022-03-03 15:12:18,929 - movie_logger - INFO - 142,클라우스
2022-03-03 15:12:18,959 - movie_logger - INFO - 143,클라우스
2022-03-03 15:12:18,988 - movie_logger - INFO - 144,클라우스
2022-03-03 15:12:19,019 - movie_logger - INFO - 145,클라우스
2022-03-03 15:12:19,050 - movie_logger - INFO - 146,클라우스
2022-03-03 15:12:19,081 - movie_logger - INFO - 147,클라우스
2022-03-03 15:12:19,111 - movie_logger - INFO - 148,클라우스
2022-03-03 15:12:19,141 - movie_logger - INFO - 149,클라우스
2022-03-03 15:12:19,171 - movie_logger - INFO - 150,클라우스
2022-03-03 15:12:19,313 - movie_logger - INFO - 다음페이지 클릭
2022-03-03 15:12:19,355 - movie_logger - INFO - 151,클라우스
2022-03-03 15:12:19,387 - movie_logger - INFO - 152,클라우스
2022-03-03 15:12:19,417 - movie_logger - INFO - 153,클라우스
2022-03-03 15:12:19,447 - movie_logger - INFO - 154,클라우스
2022-03-03 15:12:19,477 - movie_logger - INFO - 155,클라우스
2022-03-03 15:12:19,505 - movie_logger - INFO - 156,클라우스
2022-03-03 15:12:19,536 - movie_logger - INFO - 157,클라우스
2022-03-03 15:12:19,566 - movie_logger - INFO - 158,클라우스
2022-03-03 15:12:19,594 - movie_logger - INFO - 159,클라우스
2022-03-03 15:12:19,623 - movie_logger - INFO - 160,클라우스
2022-03-03 15:12:19,767 - movie_logger - INFO - 다음페이지 클릭
2022-03-03 15:12:19,811 - movie_logger - INFO - 161,클라우스
2022-03-03 15:12:19,841 - movie_logger - INFO - 162,클라우스
2022-03-03 15:12:19,871 - movie_logger - INFO - 163,클라우스
2022-03-03 15:12:19,900 - movie_logger - INFO - 164,클라우스
2022-03-03 15:12:19,930 - movie_logger - INFO - 165,클라우스
2022-03-03 15:12:19,958 - movie_logger - INFO - 166,클라우스
2022-03-03 15:12:19,989 - movie_logger - INFO - 167,클라우스
2022-03-03 15:12:20,019 - movie_logger - INFO - 168,클라우스
2022-03-03 15:12:20,049 - movie_logger - INFO - 169,클라우스
2022-03-03 15:12:20,080 - movie_logger - INFO - 170,클라우스
2022-03-03 15:12:20,214 - movie_logger - INFO - 다음페이지 클릭
2022-03-03 15:12:20,275 - movie_logger - INFO - 171,클라우스
2022-03-03 15:12:20,305 - movie_logger - INFO - 172,클라우스
2022-03-03 15:12:20,336 - movie_logger - INFO - 173,클라우스
2022-03-03 15:12:20,366 - movie_logger - INFO - 174,클라우스
2022-03-03 15:12:20,398 - movie_logger - INFO - 175,클라우스
2022-03-03 15:12:20,429 - movie_logger - INFO - 176,클라우스
2022-03-03 15:12:20,460 - movie_logger - INFO - 177,클라우스
2022-03-03 15:12:20,489 - movie_logger - INFO - 178,클라우스
2022-03-03 15:12:20,519 - movie_logger - INFO - 179,클라우스
2022-03-03 15:12:20,550 - movie_logger - INFO - 180,클라우스
2022-03-03 15:12:20,716 - movie_logger - INFO - 다음페이지 클릭
2022-03-03 15:12:20,760 - movie_logger - INFO - 181,클라우스
2022-03-03 15:12:20,791 - movie_logger - INFO - 182,클라우스
2022-03-03 15:12:20,825 - movie_logger - INFO - 183,클라우스
2022-03-03 15:12:20,855 - movie_logger - INFO - 184,클라우스
2022-03-03 15:12:20,885 - movie_logger - INFO - 185,클라우스
2022-03-03 15:12:20,914 - movie_logger - INFO - 186,클라우스
2022-03-03 15:12:20,944 - movie_logger - INFO - 187,클라우스
2022-03-03 15:12:20,976 - movie_logger - INFO - 188,클라우스
2022-03-03 15:12:21,007 - movie_logger - INFO - 189,클라우스
2022-03-03 15:12:21,039 - movie_logger - INFO - 190,클라우스
2022-03-03 15:12:21,187 - movie_logger - INFO - 다음페이지 클릭
2022-03-03 15:12:21,239 - movie_logger - INFO - 191,클라우스
2022-03-03 15:12:21,270 - movie_logger - INFO - 192,클라우스
2022-03-03 15:12:21,300 - movie_logger - INFO - 193,클라우스
