2022-03-07 17:03:20,712 - movie_logger - INFO - 가상브라우저 실행...
2022-03-07 17:03:21,061 - movie_logger - INFO - 네이버 영화 랭킹 1페이지이동...
2022-03-07 17:03:22,153 - movie_logger - INFO - 영화 평점 클릭...
2022-03-07 17:03:22,176 - movie_logger - INFO - 영화 제목 수집 : 클라우스
2022-03-07 17:03:22,195 - movie_logger - INFO - iframe으로 전환
2022-03-07 17:03:34,761 - movie_logger - INFO - 가상브라우저 실행...
2022-03-07 17:03:35,086 - movie_logger - INFO - 네이버 영화 랭킹 1페이지이동...
2022-03-07 17:03:35,940 - movie_logger - INFO - 영화 평점 클릭...
2022-03-07 17:03:35,959 - movie_logger - INFO - 영화 제목 수집 : 클라우스
2022-03-07 17:03:39,307 - movie_logger - INFO - 75,클라우스
2022-03-07 17:03:39,355 - movie_logger - INFO - 76,클라우스
2022-03-07 17:03:39,388 - movie_logger - INFO - 77,클라우스
2022-03-07 17:03:39,421 - movie_logger - INFO - 78,클라우스
2022-03-07 17:03:39,451 - movie_logger - INFO - 79,클라우스
2022-03-07 17:03:39,482 - movie_logger - INFO - 80,클라우스
2022-03-07 17:03:39,621 - movie_logger - INFO - 다음페이지 클릭
2022-03-07 17:03:39,657 - movie_logger - INFO - 81,클라우스
2022-03-07 17:03:39,688 - movie_logger - INFO - 82,클라우스
2022-03-07 17:03:39,719 - movie_logger - INFO - 83,클라우스
2022-03-07 17:03:39,750 - movie_logger - INFO - 84,클라우스
2022-03-07 17:03:39,783 - movie_logger - INFO - 85,클라우스
2022-03-07 17:03:39,814 - movie_logger - INFO - 86,클라우스
2022-03-07 17:03:39,846 - movie_logger - INFO - 87,클라우스
2022-03-07 17:03:39,880 - movie_logger - INFO - 88,클라우스
2022-03-07 17:03:39,911 - movie_logger - INFO - 89,클라우스
2022-03-07 17:03:39,942 - movie_logger - INFO - 90,클라우스
2022-03-07 17:03:40,074 - movie_logger - INFO - 다음페이지 클릭
2022-03-07 17:03:40,111 - movie_logger - INFO - 91,클라우스
2022-03-07 17:03:40,142 - movie_logger - INFO - 92,클라우스
2022-03-07 17:03:40,175 - movie_logger - INFO - 93,클라우스
2022-03-07 17:03:40,207 - movie_logger - INFO - 94,클라우스
2022-03-07 17:03:40,237 - movie_logger - INFO - 95,클라우스
2022-03-07 17:03:40,270 - movie_logger - INFO - 96,클라우스
2022-03-07 17:03:40,300 - movie_logger - INFO - 97,클라우스
2022-03-07 17:03:40,331 - movie_logger - INFO - 98,클라우스
2022-03-07 17:03:40,363 - movie_logger - INFO - 99,클라우스
2022-03-07 17:03:40,395 - movie_logger - INFO - 100,클라우스
2022-03-07 17:03:40,532 - movie_logger - INFO - 다음페이지 클릭
2022-03-07 17:03:40,575 - movie_logger - INFO - 101,클라우스
2022-03-07 17:03:40,609 - movie_logger - INFO - 102,클라우스
2022-03-07 17:03:40,645 - movie_logger - INFO - 103,클라우스
2022-03-07 17:03:40,676 - movie_logger - INFO - 104,클라우스
2022-03-07 17:03:40,710 - movie_logger - INFO - 105,클라우스
2022-03-07 17:03:40,744 - movie_logger - INFO - 106,클라우스
2022-03-07 17:03:40,775 - movie_logger - INFO - 107,클라우스
2022-03-07 17:03:40,806 - movie_logger - INFO - 108,클라우스
2022-03-07 17:03:40,836 - movie_logger - INFO - 109,클라우스
2022-03-07 17:03:40,867 - movie_logger - INFO - 110,클라우스
2022-03-07 17:03:41,004 - movie_logger - INFO - 다음페이지 클릭
2022-03-07 17:03:41,042 - movie_logger - INFO - 111,클라우스
2022-03-07 17:03:41,073 - movie_logger - INFO - 112,클라우스
2022-03-07 17:03:41,104 - movie_logger - INFO - 113,클라우스
2022-03-07 17:03:41,135 - movie_logger - INFO - 114,클라우스
2022-03-07 17:03:41,166 - movie_logger - INFO - 115,클라우스
2022-03-07 17:03:41,197 - movie_logger - INFO - 116,클라우스
2022-03-07 17:03:41,228 - movie_logger - INFO - 117,클라우스
2022-03-07 17:03:41,261 - movie_logger - INFO - 118,클라우스
