44,장민호 드라마 최종회,장민호 드라마 최종회 영화관 상영 대박날테다 감동적인시간 퀄리티 높은 환상적인 시간이었어요 영원히 기억속에 마음속에 담으렵니다 찬란한 별중에 별님이신 장민호님 존경합니다 편이되어 언제나 응원합니다 건강하세요 행복하세...,10
45,장민호 드라마 최종회,배우같은 비주얼로 다양한 장르를 최선을 다해서 과하지도 부족함도 없는 감정선, 행복감과 애절함, 절실함을 진중하게 노래로 표현하는 모습에서 진정한 연예인임을 한번더 확인하는 시간이었어요 콘서트 때와 또 다른 감...,10
46,장민호 드라마 최종회,,10
47,장민호 드라마 최종회,전체적인 틀이 잡힌 콘서트의 연장선 이네요 큰화면으로 열일하시는 가수님께 감사드립니다 감동입니다,10
48,장민호 드라마 최종회,,10
49,장민호 드라마 최종회,콘서트에서 받았던 감동을 영화를 통해 또한번 느낄수있어 넘 좋았어요,10
50,장민호 드라마 최종회,장민호 드라마 최종회 명품보이스와 훌륭한 무대매너.퍼포먼스.무대연출까지 모두 최고였어요,10
51,장민호 드라마 최종회,장민호 님 첫 단독콘서트 드라마 콘서트장에서 볼때와 또다른 감동입니다 민호님 표정 하나하나 섬세한 동작 하나하나 자세히 볼수 있어서 감정이입이 더 잘되고 콘서트장에서 서도 안나던 눈물이 나오더라구요 평생...,10
52,장민호 드라마 최종회,장민호 단독콘서트 너무 설렙니다 단독콘서트 대박나시길 응원합니다,10
53,장민호 드라마 최종회,감동 감동ㅎ 웃고 손벽치고콘서트 와 또 다른 감동으로 잘 봤습니다,10
54,장민호 드라마 최종회,콘서트의 감동을 한번 더 보고 느낄 수 있는 영화, 재미와 감동 스토리까지 볼 때 마다 스며듭니다,10
55,장민호 드라마 최종회,,10
56,장민호 드라마 최종회,장민호 팬에게는 최고의 감동이네요.,9
57,장민호 드라마 최종회,장민호님의 드라마 최종회 감동과 콘서트의 여운이 그대로 남아서 계속 보고싶어요,10
58,장민호 드라마 최종회,장민호 춤ㆍ가창력ㆍ무대매너 ㆍ감동 볼수록 매력있어요,10
59,장민호 드라마 최종회,콘서트 감동과는 또다른 감동입니다 인간 장민호 님의 진면목을 볼 수 있었네요,10
60,장민호 드라마 최종회,콘서트를본것같은느낌을받았어요,10
61,장민호 드라마 최종회,민호님콘서트의 감동을 다시 한번 느낄 수 있는 영화예요^^,10
62,장민호 드라마 최종회,드라마 최종회 감동이었습니다 콘서트현장에 와 있는듯한 행복과 설레임너무 너무 엇진모습 또 반하고 왔습니다,10
63,장민호 드라마 최종회,,10
64,장민호 드라마 최종회,감동과 재미를 동시에 잡았어요.,10
65,장민호 드라마 최종회,콘서트의 감동이 되살아남 효자가수여서 돋보임,10
66,장민호 드라마 최종회,너무너무 감동입니다민호님의 생생한 모습 콘서트에 있는 기분이 듭니다^^고맙고 감사합니다,10
67,장민호 드라마 최종회,오랜무명으로 다져진 장민호님의 깊은울림이었네요 콘서트한편을 다 본듯하네요같이 눈물흘리고 같이 느끼면서 잘 보고왔습니다오래오래 응원할께요더 단단해지시길 바랍니다,10
68,장민호 드라마 최종회,,10
69,장민호 드라마 최종회,,10
70,장민호 드라마 최종회,오늘도 민호님 덕분에.. 눈호강 귀호강 했어요♡고맙구요 감사해요 사랑합니다♡,10
71,장민호 드라마 최종회,좀 더 가까워진 느낌이랄까? 콘서트와는 또 다른 매력이 있네요~,10
72,장민호 드라마 최종회,장민호님 의 드라마 같은 인생잘 견디고 잘 걸어와 주어서 고맙다고말하고 싶어요연기하듯 감정과 표현이 실린가슴으로 노래하는 깊은 울림의 목소리감동으로 마음이 뭉클 울컥 했습니다,10
73,장민호 드라마 최종회,장민호 드라마 최종회 넘감동이었어요 콘서트에서 느낀감동 다시한번 느꼈습니다 드라마같은 드라마 민호님 인생역전 굳굳히지켜서 오늘의 감동을 주시니 그저 고마울뿐입니다 건강하시고 행복하시고 민트들옆에서 꽃길만 걸으세요 항...,10
74,장민호 드라마 최종회,표정속에 그의 삶의 스토리를 보는 듯 했어요강추요,10
75,장민호 드라마 최종회,역시 트롯 신사 장민호 가창력 퍼포먼스 비쥬얼 댄스실력 입담 뭐하나 빠지는게 없네요 그기에 감동까지 한번으로는 도저히 안되겠어요 장민호 응원합니다,10
76,장민호 드라마 최종회,관객을 울고 웃게 하는 감동과 힐링을 주는 영화였습니다. 다보고 나서도 더보고 싶다는 긴여운이 남는~~,10
77,장민호 드라마 최종회,장민호 님의 노래 댄스 멘트 넘 정성 가득하고 매력이넘쳐요 영상도 멋지고 감동이네요특히 걸그룹 댄스 보는 재미를 더하고 내이름아시죠 부를때는 저도 아버지 생각에 눈물이 주르륵 가슴 뭉클 했어요 장민호 님 드라마 는 ...,10
78,장민호 드라마 최종회,콘서트에서 느꼈던 감동 그대로 그이상으로 좋았어요 울고 웃고 감동이에요,10
79,장민호 드라마 최종회,25년만에 단독 콘서트를 하시는 민호님 너무도 감동받고 오랜세월 무명의 시간을 보내며 얼마나 힘드셨을지 생각하니 가슴이 아프네요. 사부곡을 들으며 나도 모르게 눈물이 흘렀네요. 앞으로는 늘 꽃길만 걸으세요. 오늘...,10
80,장민호 드라마 최종회,감동 그 자체입니다. 장민호 님 덕분에 행복한 하루 보냈습니다.고맙고 감사해요.,10
81,장민호 드라마 최종회,장민호 드라마 최종회콘서트 4번을 가고도 아쉬워 영화로 다시 보게되어 넘 감동 이었습니다그날 공연장의 기억을 오롯이 되살아나 너무 행복했습니다 민호님 고맙구요 감사 합니다,10
82,장민호 드라마 최종회,말 그대로 드라마!! 그의 인생은 그야말로 드라마!! 드넓게 펼쳐질 대하드라마!!,10
83,장민호 드라마 최종회,,10
84,장민호 드라마 최종회,콘서트에서 느꼈던 감동을 그대로 담아가지고 왔어요보는 내내 넘 좋았어요 노래도 좋고 멘트도 좋고 얼굴은말할 것도 없이 잘생겼구요자꾸만 보고 싶네요,10
85,장민호 드라마 최종회,물론 단독콘서트에서 다 본 장면들이지만 표정하나하나가 다 보이고 섬세하면서 끼를 부리시는 민호님을 보며 완전히 압권 당했습니다24일 2회 보고 또 봐야 하길래 내일 또 민호님 만나러 Cgv로 달려갑니다,10
86,장민호 드라마 최종회,영화가 끝난후에도 여운이 남습니다내일 당장 또가고 싶어서 연차를 내야하나 ?앞으로 몇번은 더 보게 될것 같네요감동입니다,10
87,장민호 드라마 최종회,그 어떤 드라마보다 더 드라마였던 2시간이였어요 또 한번 콘서트에 감동이 벅차 오르더라구요 노래하는 가수에게 존경심을 가질만큼감동을 안겨준건 처음인것같아요 말론 설명이 잘 안되네요 한번 와보시면 아시게 됩니다,10
88,장민호 드라마 최종회,웃음과 눈물이 교차되는 한편의 인생역전 감동 스토리 영화,현장에서 볼수 없었던 민호님의 표정 감정이 고스란히 전해져 감정이입이 최고였다.행복한 두시간이 추억속 한페이지로~~민호님과 관계자분들!! 수고많으셨고 고맙고 ...,10
89,장민호 드라마 최종회,콘서트때자세히볼수없던 잘생긴민호님 큰화면에가득해너무행복했답니다좋아서웃으시며노래하시는작은표정하나하나 다눈에가득담고왔어요노래도 영상미도정말최고였어요,10
90,장민호 드라마 최종회,#장민호 #드라마 최종회 감동과 행복한 시간 이였어요 민호님 웃으시면 같이웃고 우시면 같이 눈물을 흘리는 시간 평생 잊지않고 간짃하게습니다 연리지 나무처럼 두손 놓지말고 앞으로 ...,10
91,장민호 드라마 최종회,누군가 말했죠. 얼굴에 노래가 묻힌다고. 정말 맞는 말이네요.그렇게 춤을 추면서 노래를 하는데도 어쩜 힘든 내색 없이 노래를 잘하는지.그 모습을 보며 얼마나 노력하는 가수인지 새삼 느끼게 됩니다.역쉬 영화 보길 잘했...,10
92,장민호 드라마 최종회,장민호 드라마최종회 마음호강 눈호강 귀호강 정말 행복한 날입니다,10
93,장민호 드라마 최종회,분명 콘서트를 봤는데 그땐 미처 보지 못했던 장민호님의 감정이 큰 화면으로 보니 너무 잘 보입니다.꿈만 같은 단독 콘서트의 순간순간에 최선을 다하려는 장민호 님의 진심이 느껴집니다.보면서 사람들이 왜 장민호, 장민호...,10
94,장민호 드라마 최종회,너무너무 감동적인 드라마를 만들어 주셔서 감사합니다.^^장민호오빠 쵝오♡.♡,10
95,장민호 드라마 최종회,트롯가수인데 다양한 장르의 노래 감동이었고 콘서트를 위해서 많은 준비를 했다는 모습이 또한 감동이었습니다.콘서트의 모습이 영화화 되어서 큰 스크린으로 다시 보니 영상도 깨끗했고 배우보다 잘 생긴 내가수의 모습 너무 ...,10
96,장민호 드라마 최종회,콘서트 그 이상의 감동입니다~~~♡♡♡,10
97,장민호 드라마 최종회,노래 넘 잘하고 멋짐뿜뿜,10
98,장민호 드라마 최종회,감동과 즐거움과 행복함을 느끼며 영화를 관람했씀니다 너무 감동적이에요,10
99,장민호 드라마 최종회,,10
100,장민호 드라마 최종회,영화 너무잘보았어요 감동입니다,10
101,장민호 드라마 최종회,감동입니다. 최고의 드라마였어요,10
102,장민호 드라마 최종회,우리가수님 넘멋지고 좋았습니다 앞으로쭈욱 꽃길만걸으세요,10
103,장민호 드라마 최종회,원주cqv 관람했네요감동 백펑ㅂ니다,10
104,장민호 드라마 최종회,,10
105,장민호 드라마 최종회,,10
106,장민호 드라마 최종회,,10
107,장민호 드라마 최종회,드라마 최종회 영화 대박입니다,10
108,장민호 드라마 최종회,,10
109,장민호 드라마 최종회,장민호님의 감성적인 목소리.연출.음악.감동 모든부분이 너무 좋았어요 시간이 금방지나서 아쉬웠어요 더보고싶었어요~~^^최고였습니다,10
110,장민호 드라마 최종회,장민호 드라마 콘서트 에서와또다른 뮤비 좋았어요콘서트 에서못느낀 오롯이민호님 을보니 너무좋았습니다 드라마2콘서트에서만나요,10
111,장민호 드라마 최종회,콘서트로봤지만 바로 앞에서 보는 느낌으로 즐기며 감동하며 감상 했습니다,10
112,장민호 드라마 최종회,장민호 드라마 최종회 시간 가는줄 모르고 보고 들었어요 감동입니다 내일 또 보러 갑니다,10
113,장민호 드라마 최종회,콘서트에서 느낀 감동의 순간을 다시 꺼내 화면 가득 마음을 담아 깊은 감정으로 노래부르는 모습을 볼 수 있어 좋았어요.같이 공감하고 감동받고 울컥하고 간절하게 드라마시즌2가 기다려지는 마법같은 시간 노래에 흠뻬 빠져...,10
114,장민호 드라마 최종회,콘서트에서 너무작게보여 답답했는데 가까이서 보여서 너무좋았어요,10
115,장민호 드라마 최종회,,10
116,장민호 드라마 최종회,,10
117,장민호 드라마 최종회,장민호 배우보다 더 배우같으신분 최고의 가수님이고 멋진 영화 배우입니다,10
118,장민호 드라마 최종회,피켓팅 실패로 못했던 콘서트1열 관람 한 기분이었다. 장민호란 가수의 노래에서 진심 열심 따뜻함을 그대로 느낄 수있었던 감동의 시간,10
